trade_id,open_date,close_date,symbol,side,expiry,strike,contracts,entry_price,exit_price,fees,thesis,setup_tag,outcome_tag,notes
T0001,2026-02-03,2026-02-07,AAPL,LONG_CALL,2026-03-20,190,2,2.10,3.05,2.00,"Bullish continuation after pullback to 20D MA",pullback,win,"Exited into strength near prior high"
T0002,2026-02-04,2026-02-06,TSLA,LONG_PUT,2026-03-20,210,1,4.80,3.70,2.00,"Breakdown below support + weak tape",breakdown,loss,"Cut early; invalidation at reclaim level"
T0003,2026-02-05,2026-02-12,MSFT,LONG_CALL,2026-04-17,415,1,3.25,4.10,2.00,"Post-earnings drift up; trend intact",trend,win,"Held 7 days; partial plan not needed"
T0004,2026-02-06,2026-02-06,NVDA,LONG_CALL,2026-02-14,720,3,6.40,5.55,3.00,"Momentum scalp into breakout attempt",breakout,loss,"Same-day stop; breakout failed"
T0005,2026-02-07,2026-02-11,SPY,LONG_PUT,2026-03-20,490,2,2.35,2.95,2.00,"Mean reversion fade after extended rally",mean_reversion,win,"Exited at VWAP test"
T0006,2026-02-10,2026-02-18,AMD,LONG_CALL,2026-03-20,160,2,1.55,1.10,2.00,"Spec bounce; oversold but no confirmation",oversold,loss,"Entered too early; no catalyst"
T0007,2026-02-11,2026-02-14,META,LONG_CALL,2026-03-20,520,1,2.80,3.40,2.00,"Strong relative strength vs QQQ",trend,win,"Clean follow-through"
T0008,2026-02-12,2026-02-13,QQQ,LONG_PUT,2026-03-20,420,2,2.05,1.70,2.00,"Hedge into CPI event risk",macro_event,loss,"Vol crush after event"
T0009,2026-02-13,2026-02-19,AMZN,LONG_CALL,2026-04-17,175,3,1.20,1.75,3.00,"Range breakout; volume confirmation",breakout,win,"Scaled out near target zone"
T0010,2026-02-14,2026-02-21,GOOGL,LONG_PUT,2026-04-17,135,2,2.60,2.40,2.00,"Weak bounce into resistance; fade",mean_reversion,loss,"Small loss; thesis ok, timing off"
T0011,2026-02-18,2026-02-25,BA,LONG_CALL,2026-03-20,210,1,2.15,3.10,2.00,"Catalyst pop continuation",catalyst,win,"Held until momentum slowed"
T0012,2026-02-19,2026-02-20,COIN,LONG_PUT,2026-03-20,160,2,3.90,4.60,2.00,"Risk-off; crypto weakness spillover",trend,win,"Quick winner; took profits early"
T0013,2026-02-20,2026-02-28,SMH,LONG_CALL,2026-04-17,230,2,2.45,2.05,2.00,"Sector strength but late entry",trend,loss,"Should wait pullback"
T0014,2026-02-21,2026-02-24,SPY,LONG_CALL,2026-03-20,505,1,1.85,2.30,2.00,"Bounce from support + breadth improvement",pullback,win,"Good execution"
T0015,2026-02-24,2026-02-24,NFLX,LONG_PUT,2026-03-20,560,1,3.10,2.55,2.00,"Failed breakout; reversal candle",breakdown,loss,"Stopped same day"
T0016,2026-02-25,2026-03-01,IWM,LONG_CALL,2026-04-17,205,2,1.35,1.95,2.00,"Small caps rotation; breakout attempt",breakout,win,"Held 5 days"
T0017,2026-02-26,2026-02-27,AAPL,LONG_PUT,2026-03-20,185,2,1.90,1.60,2.00,"Hedge into uncertainty; protect gains",hedge,loss,"Not needed; market stayed bid"
T0018,2026-02-27,2026-03-05,TSLA,LONG_CALL,2026-04-17,230,1,5.20,6.80,2.00,"Reclaim key level; trend reversal setup",breakout,win,"Best trade of week"
T0019,2026-03-03,2026-03-07,QQQ,LONG_CALL,2026-04-17,440,2,2.15,2.60,2.00,"Follow-through after consolidation",trend,win,"Kept size small"
T0020,2026-03-05,2026-03-10,AMD,LONG_PUT,2026-04-17,150,2,2.05,2.35,2.00,"Fade into resistance; weak semis day",mean_reversion,win,"Exited into flush"
